Match File,Evasion File,Field,Match Value,Evasion Value,TrivialChange
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:29:15.652Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.218Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.281Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T20:34:50.509Z,2021-02-04T23:00:37.488Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T20:34:50.509Z,2021-02-04T22:28:58.031Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T20:34:50.509Z,2021-02-04T22:29:04.000Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:27:14.750Z,2021-02-04T22:27:19.796Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:27:14.750Z,2021-02-04T22:30:19.949Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:27:14.750Z,2021-02-04T22:36:10.343Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:38:33.153Z,2021-02-04T22:28:08.250Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:38:33.153Z,2021-02-05T08:50:10.056Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:38:33.153Z,2021-02-04T22:29:08.701Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:31:08.675Z,2021-02-04T22:28:10.328Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:31:08.675Z,2021-02-05T05:02:00.143Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:31:08.675Z,2021-02-04T22:28:55.906Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:27:32.859Z,2021-02-04T22:28:11.125Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:27:32.859Z,2021-02-04T22:35:34.644Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:27:32.859Z,2021-02-04T22:28:56.625Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T23:06:26.735Z,2021-02-04T22:28:15.734Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T23:06:26.735Z,2021-02-04T22:27:21.718Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T23:06:26.735Z,2021-02-04T22:27:20.812Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-04T22:36:13.546Z,2021-02-04T22:35:03.567Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-04T22:36:13.546Z,2021-02-04T22:35:47.905Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_04.json,@timestamp,2021-02-04T22:36:13.546Z,2021-02-05T07:02:00.137Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-04T22:36:13.546Z,2021-02-04T22:35:50.793Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,@timestamp,2021-02-05T11:02:00.817Z,2021-02-04T22:30:22.737Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,@timestamp,2021-02-05T11:02:00.817Z,2021-02-04T20:14:09.394Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_06.json,@timestamp,2021-02-05T11:02:00.817Z,2021-02-04T22:28:16.546Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_04.json,@timestamp,2021-02-05T11:02:00.817Z,2021-02-04T23:14:44.584Z,False
Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,@timestamp,2021-02-05T11:02:00.817Z,2021-02-04T22:27:20.828Z,False
